,National Monument
,4.6
, -102,338 
,Iconic homage to Indonesian independence
,Istiqlal Mosque
,4.7
, -8,105 
,Massive mosque with modern style
,Taman Mini Indonesia Indah
,4.6
, -141,804 
,Park filled with sights about Indonesia
,Museum Nasional Indonesia
,4.6
, -12,180 
,National history museum opened in 1868
,Ragunan Zoo
,4.5
, -93,124 
,Large zoo in a rainforest setting
,Taman Impian Jaya Ancol
,4.5
, -40,055 
, Resort with theme parks, beaches & golf 
,Museum MACAN (Modern and Contemporary Art in Nusantara)
,4.5
, -9,049 
,Gallery for Indonesian & global works
,Dunia Fantasi
,4.6
, -63,052 
,Theme park with rides & water features
,Jakarta History Museum
,4.6
, -20,407 
,Exhibits on the history of Jakarta
,Galeri Nasional Indonesia
,4.6
, -8,407 
,Rotating exhibits in a historic building
,Jakarta Cathedral
,4.8
, -9,818 
,Neo-Gothic cathedral with 3 spires
,Wayang Museum
,4.5
, -4,312 
,Exhibits of Javanese puppets & dolls
,Museum Bank Indonesia
,4.7
, -9,547 
,Local banking history & artifacts
,Sea World Ancol
,4.5
, -35,831 
,Modern aquarium with feeding shows
,Museum Bahari Jakarta
,4.5
, -2,738 
,Displays on Indonesia's nautical culture
,Pulau Bidadari
,4.4
,-143
,Secluded island with a resort & fort
,Fatahillah Square
,4.6
, -22,903 
,Plaza with museums & vibrant atmosphere
,Taman Suropati
,4.6
, -18,771 
,City green space with trails & statues
,Atlantis Water Adventures Ancol
,4.5
, -8,676 
,Waterpark attractions for adults & kids
,Ancol beach
,4.4
, -13,912 
,Popular sandy beach with a lifeguard
,Tebet Eco Park
,4.6
, -11,431 
,Ample riverside park with jogging trails
,Museum of Textile
,4.5
, -2,503 
,Homey museum with textile exhibits
, Merdeka Square, Jakarta 
,Iconic place with historical buildings
, Taman Wisata Alam Mangrove, Angke Kapuk 
,4.3
, -14,964 
,Mangrove forest with diverse wildlife
,Waterbom Pantai Indah Kapuk
,4.4
, -7,343 
,Massive water park with twisting slides
,Museum of Fine Art and Ceramics
,4.4
, -3,065 
,Museum for traditional arts & ceramics
,Ocean Dream Samudra - Ancol
,4.5
, -6,991 
,Amusement park with sea lions & dolphins
,Kidzania Jakarta
,4.6
, -7,568 
,Amusement park and park
,Taman Ismail Marzuki
,4.6
, -17,094 
,Sleek center for arts & performance
,Sekretariat Backpacker Jakarta
,4.6
,-297
,Mountain
,Museum Mandiri
,4.6
, -1,527 
,Museum on the history of banking
,Setu Babakan
,4.4
, -1,569 
,Modest lake used for fish farming
,Allianz Eco Park
,4.6
, -5,208 
,Outdoor park with adventure activities
,Jakarta Aquarium & Safari
,4.6
, -2,310 
,Art:1 New Museum
,4.6
,-347
,Gallery for contemporary Indonesian art
,Formulation of Proclamation Text Museum
,4.7
, -1,035 
,Site of the independence proclamation
,Fatahillah
,4.4
,-44
,History displays in a stately building
,Onrust Island
,4.5
,-189
,Small island with ruins & a museum
,Lapangan Banteng Park
,4.7
, -16,962 
,City park for jogging & fountain shows
,Pondok Indah Water Park
,4.6
, -1,698 
, Surfing, swimming & an area for children 
,Menteng Park
,4.5
, -18,702 
,Large park with a playground & sports
,Trans Studio Theme Park Cibubur
,4.5
, -1,997 
,Amusement park and park
,Taman Prasasti Museum
,4.5
, -1,475 
,Late-1700s Dutch cemetery & museum
,Museum Layang-layang Indonesia
,4.5
, -1,559 
,Exhibits & activities devoted to kites
,Satriamandala Museum
,4.6
, -5,996 
,Indonesian military history museum
,National Awakening Museum
,4.7
, -1,802 
,Indonesian National Awakening museum
,Kubah Mas Mosque
,4.7
, -11,389 
,Domed mosque with an elegant courtyard
,Korea Tourism Organization
,4.8
,-8
, Nature, history, and architecture 
,Wisata Kota Tua Jakarta
,4.6
, -15,118 
,Old town area with colonial architecture
,Selamat Datang Monument
,4.7
, -8,069 
,Well-known monument in a fountain
,Museum Sumpah Pemuda
,4.7
,-946
,History of a national youth movement
,Dharma Bhakti Temple
,4.7
, -2,116 
, Centuries-old, Chinese temple complex 
,Jakarta Planetarium
,4.1
, -1,109 
,Venue with space exhibits & observatory
,Taman Legenda Keong Emas TMII
,4.5
, -2,050 
,Theme park with rides & a dino zone
,Pasar Seni
,4.4
, -4,445 
,Arts & crafts center open since 1977
,Basoeki Abdullah Museum
,4.7
, -1,114 
,Works by a renowned painter & puppeteer
,Monumen Pancasila Sakti
,4.5
, -1,303 
, Monument, museum, and history 
,Tugu Kunstkring Paleis
,4.5
, -3,364 
,Arts venue in a Dutch colonial building
,Taman Rekreasi Wiladatika
,4.4
, -17,858 
,Urban park with a swimming pool
,Kahyangan Islang
,4.4
,-162
,Small island with Dutch trading relics
,Proclamation of Independence Monument
,4.6
, -6,881 
,Landmark honoring a historic event
,Faunaland Ancol
,4.5
, -3,154 
,Zoo with shows & animal interaction
,Monas
,Monument
,Glodok Chinatown Market
,4.4
, -7,918 
, Stalls for food, clothing & electronics 
,Gedung Kesenian Jakarta
,4.6
, -2,288 
,Arts hub for exhibitions & performances
,Indonesia Museum
,4.7
,-815
,Cultural exhibits & Balinese-style decor
,Gunung
,4.7
,-3
,Sasmita Loka Ahmad Yani Museum
,4.7
,-732
,Displays on a local revolutionary hero
,MOJA Museum
,4.5
, -1,737 
,Hands-on art space for photo ops
,Taman Situ Lembang
,4.6
, -5,526 
,Scenic park with a small fishing pond
,Mangrove Ecotourism Centre PIK
,4.3
, -4,247 
,Urban forest boardwalk & fishing spots
,Gedung Joang '45
,4.6
, -1,338 
,Modest museum of Indonesian history
,Kawasan Ancol
,Bentara Budaya Jakarta
,4.6
, -2,179 
, Art, art exhibition, and visual arts 
,Trans Snow World Bintaro
,4.5
, -1,431 
,Winter sport center with chairlift rides
,Mayestik Market
,4.5
, -30,343 
, 10 floors of vendors, including textiles 
,Dia.lo.gue
,4.5
, -2,552 
,Modern art center with exhibits & a cafe
,Pantjoran Pantai Indah Kapuk
,4.7
, -5,184 
,Street food in an old-school Chinatown
,Schmutzer Primate Center
,4.4
,-718
, Zoo, gorillas, orangutans, and macaques 
,Immanuel Church
,4.7
,-859
,19th-century church with a pipe organ
,Candra Naya Building
,4.6
,-593
,Masjid Ramlie Musofa
,4.9
, -9,041 
,Imposing domed & white-painted mosque
,Unit Pengelola Kawasan Perkampungan Budaya Betawi Setu Babakan
,4.5
, -8,993 
,Place to learn about Betawi culture
,Diamant Kasteel Brug
,4.4
, -1,594 
,17th-century colonial bridge
,Barito Park
,4.5
, -7,582 
, Leafy park with a lake, path & gazebos 
,Dinosaur Adventure
,4.6
, -2,930 
,Park and garden
,Salihara Arts Center
,4.6
, -2,121 
,Cultural center with a cafe & garden
,Alive Museum Ancol
,4.3
, -1,184 
,Wax museum with many photo ops
,Museum di Tengah Kebun
,4.7
,-252
,Museum